address,stable1,stable2,stable3,stable4
0x476Aba9CF7d3115f49624b432218E1982E6e2e29,0,0,1.02,0
0xed31Af7d5807163d12B4B978591046796604C334,645.72,0,0,0
0x3b22D08a1EDEEBAc7E5e24bCc7a63bf58A6Dbe59,107.02,0,0,0
0x3ef4bbB1f08F89aE3980380f72b4FA607f411D1a,394.68,0,0,0
0xB74CE0720107A7C5a86158b231EEF4E2742Cfe95,2000.00,0,0,0
0x2AE5B3D773FBf05CD313e5Fe4D42c79E3e79d849,0.00,0,0,0
0x877e9f6C1CEF7A683207fEC3C917aB70B95436Fb,0,0,0.19,0
0x508db970766C8738C19d9d748aEA4eB4a492CCA7,65.77,0,0,0
0x5d968381598badaF55b1337D389f2Ec92A0cc519,0.00,0,0,0
0xBf433DB3CA8B5F29861ab387b9F36115Aa279b68,1.06,0,0,0
0xe65D97fbCFB9Be63f80178d0cbbAc793e2A06e12,0,0,0,0
0x84d0A6DFE83dDb8D3d91aB1C915176E22bc2C0f3,0,0,2.97,0
0x3F6cC75a71b472EDc35345Ac3a540C607aFd570A,0,14.59,0,0
0xc9F7A606CC3a0a0FF6Ee4eB09Ecca6feE76f3B8e,32.47,0,0,0
0x45612E19D10df6d12b703D73deB84dFC2B428581,0,0,0,350.93
0xC5A2cF2e19E79D442cbF037abCD7eD070CAd3e0d,3.52,0,0,0
0x6715713D9713eC3DbC59a4054930E16eC12f581e,0.07,0,0,0
0x5c69C3f6cD3A309C21922E4a06204fFF6b500512,0.56,0,0,0
0x86D14F191f5AD939568fB001C06fD7A933a42fC8,6.48,0,0,0
0x8F991c2d52321ae816019AB0663bfBd90Ea67c8c,0.11,0,0,0
0x418942E4dF5317CB82FCA14FB78f42Aa0E105BcD,5.83,0,0,0
0x29530dA206209AA0484114310E6009F7160d9051,40.66,0,0,0
0x935A5D6423Ad26819249CB807EBC8F4b5797697A,8.29,0,0,0
0x56360F479cFA69145184A73f64023b04C631E68a,9.08,0,0,0
0x63c833c738534e0bF4dd9a8b4Fd8ED0fd6D70D1f,0,0,1.43,0
0xB6A7CC34868374c078914D387666d3d1868343C2,0,0,11.50,0
0x598723E1F53102474EAC20073df297a7f0B996EF,0,0,62.61,0
0xF745DAdF17CcF945Cd90aD4B5E37d9D711D35a93,131.00,0,0,0
0x756B17468F9E5aE4BAC18bbD50cE08f9CEDFd7d0,4.19,0,0,0
0x4D342034F2526CAE10fF76B92B0031557Dbf8b71,9.28,0,0,0
0xe04B32997a21Bfe34552c2121480f5B92Bebf05d,0,0,72.35,0
0x13cFACFE7Fd2Cb6d3573c611c8F93C8840459544,1241.09,0,0,0
0xfe7C117cbFB6ddbbf164a073aBe71de1D84E5E03,47.95,0,0,0
0x97fD87CC32eD4CcEe07b17E1159e9acA85b223AB,284.75,0,0,0
0xcB4C140aa3427EA9b5996f543EbD97a4d47BF0d0,8.19,0,0,0
0x785f5DAb693F6AD42ac95a4ce391699335Fc2dbe,0.23,0,0,0
0x47BaA2B0a91921EFaAa7c57c7713b1aa8dae3B84,0.01,0,0,0
0xaDC73cE413be60F1240889BD5873DD3C7B88c6B6,209.09,0,0,0
0x916c916A4cA34DBe6139D1249bF0b62CDc7173Ba,30.00,0,0,0
0x4f2F4e4FdBD228bB251b8Ec5de742599250Fc77E,11.02,0,0,0
0x2343c6e0Ba05B39889d4B74ccd2bAC9757249001,0,0,0.00,0
0x3C0C48CF5D4301e0d2e8AEc98CE2c51E160b515D,0.04,0,0,0
0x34f59297AD78A54eD80f4EBeAa7bdb250221Ba5c,144.34,0,0,0
0x2E49d51D73dDFf517408affc57BBCfF797A4e7Af,252.83,0,0,0
0xC243EBAA8738e34eCB814035914a536998368205,0,0.53,0,0
0xfb34cF0a9EC78f5dA4Fb4f04Bdb7D970Aa193413,10.37,0,0,0
0xa20a463657b2D840a58aDFc02A09dB1E19f025FD,253.07,0,0,0
0xF4b40B20572D117EAD7b5ca3C7eFf7d3CBdC4067,110.58,0,0,0
0x0F08EBaB7DE1c6049Cdcb3aE6698d9Ea031DE75b,0,0,0.72,0
0x4a6ee6E8835292DfB9ae46165733c5325A6ADd80,6.47,0,0,0
0x2b57C69a510B9d5564CE1139Fd2c1868bBeAD286,75.95,0,0,0
0xb7d3c98862C21093300b7950894C974F47995ab2,0,0,35.97,0
0x21e9B57630a614171e659835E70d6A2273843442,0.48,0,0,0
0xaA3A9D0DBC7eF324fea72E71035E63aa7F8e2579,0.66,0,0,0
0x59ad7ABe303de140659b97e7fe58b8A691706A8f,0,0,7.86,0
0xc5cADd04439b02bFE4B4CD24F6D2f00d30B9A22D,0,0,0.11,0
0xa52bd56Ed25E6a2E521807Ff581C8cab61996938,19.75,0,0,0
0x394CC01b1E18497ECE28D3b5567767eC72ae713c,319.60,0,0,0
0x1e0C7aa366Def637e81E826C93822027275692Dd,0,0,0.03,0
0x65a954E5E8Df2b24183fe8F93235Bbc4CEb1B854,0,0,2.60,0
0xd227D502347f2c2DB90101CF20E29450cBfC4F92,0,0,0.00,0
0x9ee2ccecBB74D78A84269E0258C3d45FcD137b30,0,0,4.00,0
0x1B5E5c444BEB49256ed47F7DfFCAC746D2932AFF,0.05,0,0,0
0x6b74c348f9e11551A29F81aBB1Afbc85655BE252,7.51,0,0,0
0xcBB985Dd59Afd674717eA89fd9cf4A97bad844e2,0,0,156.78,0
0xb8Ef856770E07a7C97152C0f74Ecb7b5ce06D45D,2.53,0,0,0
0x886f9aB1b54d9eBaf7031d930B8C653B18b59688,2.02,0,0,0
0x1b0658bcc8a65F1E6Cf08009B2A3E332a2956Bea,14.43,0,0,0
0x101545002622cB511897CD7f919763d6427F7912,0.32,0,0,0
0x6A73a7cdd1Fae32245d78260928D39e975AE0E6f,17.64,0,0,0
0x00ce049D0624a087473A4bd5078AC90Ad25175e8,198.20,0,0,0
0xBDC8DA32f0a769c10d97aF6D2AD48C6107c7917e,3.31,0,0,0
0x59C2cF9bBD916C44C7007F15bCA76845057DE632,0,0,323.96,0
0xf2f7ad044dfBAa417249C8568788d7Aa1E6F155b,3.45,0,0,0
0x98983eFc0165950dE7310038a8aBDF9867151005,0.25,0,0,0
0x2fe4b68C02193c0C7F491E0AB81084F7187d25b0,0.28,0,0,0
0xDF54d73eeCB8841c7ec672EbF1B04f89aFeF587F,118.92,0,0,0
0xc6eb999E07F1bA687Ef3179425113557Ef747FE8,0,0,1.18,0
0x25c8A1b40043ADEB2A1A284fD895549006F1497B,296.99,0,0,0
0x42e77472B3C250b630AdEC6ac9C9E7D25304dfDf,186.90,0,0,0
0x665D539421e7fca9A664a96e74AEbBA4c9302b13,0.41,0,0,0
0x13d1a271e464FC68020D7d13f56abC41f2362538,0.14,0,0,0
